date,open,high,low,close,volume,unadjusted,putthrough
2014-01-24,14.4241,14.8037,14.0446,14.2723,8417060,18.8000,0
2014-01-27,14.1964,14.2723,13.7409,13.9686,3240910,18.4000,0
2014-02-06,13.8168,13.8927,13.3613,13.3613,959590,17.6000,0
2014-02-07,13.2095,13.2854,12.5262,12.6021,2987600,16.6000,0
2014-02-10,12.5262,13.0576,12.2984,12.9058,4052090,17.0000,20000
2014-02-11,13.0576,13.0576,12.8299,12.8299,1938480,16.9000,0
2014-02-12,12.7540,12.8299,12.6781,12.7540,1176180,16.8000,0
2014-02-13,12.7540,12.8299,12.6022,12.6021,2156140,16.6000,0
2014-02-14,12.7539,12.9058,12.6021,12.7540,1489380,16.8000,0
2014-02-17,12.8299,12.8299,12.6022,12.6781,1173560,16.7000,0
2014-02-18,12.6781,12.6781,12.6022,12.6021,1861540,16.6000,0
2014-02-19,12.6780,12.7539,12.5262,12.6021,2988120,16.6000,0
2014-02-20,12.6780,13.0576,12.6021,12.8299,3243650,16.9000,0
2014-02-21,12.7540,12.7540,12.6781,12.6781,903040,16.7000,0
2014-02-24,12.7540,12.7540,12.6022,12.6781,833430,16.7000,0
2014-02-25,12.6022,12.6781,12.5263,12.6781,1249150,16.7000,0
2014-02-26,12.6781,12.8299,12.6022,12.6781,1399670,16.7000,0
2014-02-27,12.6781,13.2095,12.6781,12.8299,3731900,16.9000,0
2014-02-28,12.7540,12.9058,12.7540,12.9058,1154560,17.0000,0
2014-03-03,12.8299,12.9058,12.6781,12.6781,954830,16.7000,0
2014-03-04,12.6022,12.6781,12.5263,12.6021,1551740,16.6000,0
2014-03-05,12.6780,12.7539,12.6021,12.6021,737090,16.6000,0
2014-03-06,12.6021,12.6780,12.5262,12.6021,768340,16.6000,0
2014-03-07,12.6021,12.6780,12.6021,12.6021,773450,16.6000,0
2014-03-10,12.6021,12.7539,12.6021,12.6781,957770,16.7000,0
2014-03-11,12.6022,12.6781,12.6022,12.6021,752790,16.6000,0
2014-03-12,12.6021,12.6780,12.5262,12.5262,979430,16.5000,0
2014-03-13,12.6021,12.6021,12.4503,12.5262,806950,16.5000,0
2014-03-14,12.6021,12.6780,12.4503,12.6021,924510,16.6000,0
2014-03-17,12.6021,12.6780,12.5262,12.6021,989350,16.6000,40000
2014-03-18,12.6021,12.8298,12.5262,12.7540,2171570,16.8000,926290
2014-03-19,12.8299,13.2095,12.8299,13.2095,5624790,17.4000,0
