date,open,high,low,close,volume,unadjusted,putthrough
2006-12-13,19.4343,19.4343,19.4343,19.4343,83530,400.0000,0
2006-12-14,20.4060,20.4060,20.4060,20.4060,280710,420.0000,0
2006-12-15,21.4263,21.4263,21.4263,21.4263,265300,441.0000,0
2006-12-18,22.4952,22.4952,22.4952,22.4952,215790,463.0000,0
2006-12-19,23.6127,23.6127,23.6127,23.6127,137520,486.0000,0
2006-12-20,24.7788,24.7788,24.7788,24.7787,220120,510.0000,0
2006-12-21,24.7787,24.3414,23.5641,23.5641,156400,485.0000,0
2006-12-22,22.3980,22.3980,22.3980,22.3980,143500,461.0000,0
2006-12-25,21.2805,21.2805,21.2805,21.2806,22140,438.0000,0
2006-12-26,22.3009,22.3009,20.2603,22.3009,300150,459.0000,0
2006-12-27,0.0000,23.3212,22.3009,23.3212,413230,480.0000,0
2006-12-28,23.3212,23.3212,22.8353,23.3212,144840,480.0000,0
2006-12-29,22.5924,22.5924,22.3495,22.3494,69760,460.0000,0
2007-01-02,21.3777,21.8635,21.3777,21.3777,81170,440.0000,0
2007-01-03,21.8636,21.8636,21.3777,21.8636,74660,450.0000,0
2007-01-04,22.9325,22.9325,22.9325,22.9325,148510,472.0000,0
2007-01-05,24.0500,24.0500,24.0500,24.0499,377800,495.0000,0
2007-01-08,24.7787,24.7787,23.8070,23.8070,351470,490.0000,0
2007-01-09,24.0499,24.0499,23.8070,23.8070,225270,490.0000,0
2007-01-10,23.8070,24.0499,23.8070,24.0499,314250,495.0000,0
2007-01-11,24.2928,24.2928,24.2928,24.2929,283920,500.0000,0
2007-01-12,25.5075,25.5075,25.5075,25.5075,279710,525.0000,0
2007-01-15,25.9934,26.7707,25.9934,26.7707,274290,551.0000,0
2007-01-16,28.0825,28.0825,28.0825,28.0826,339760,578.0000,0
2007-01-17,29.1029,29.1029,26.7222,26.7222,145870,550.0000,0
2007-01-18,25.4104,26.7708,25.4104,26.7707,282430,551.0000,0
2007-01-19,28.0825,28.0825,28.0825,28.0826,95290,578.0000,0
2007-01-22,29.4430,29.4430,29.1515,29.1514,461630,600.0000,0
2007-01-23,29.1514,29.2486,29.1514,29.2486,243990,602.0000,0
2007-01-24,29.2486,29.2486,28.1797,28.1797,156420,580.0000,0
2007-01-25,28.1797,28.1797,28.1797,28.1797,142420,580.0000,0
2007-01-26,28.1797,28.6170,27.6938,28.1797,129240,580.0000,0
2007-01-29,29.3943,29.3943,28.4226,29.3944,201310,605.0000,0
2007-01-30,30.6090,30.8520,30.6090,30.8519,258290,635.0000,0
2007-01-31,30.9977,31.3378,30.9977,31.3378,1993480,645.0000,0
2007-02-01,31.4350,31.4350,30.1232,30.1232,736990,620.0000,0
2007-02-02,30.6091,30.6091,30.6091,30.6090,500660,630.0000,0
2007-02-05,29.1028,30.1231,29.1028,29.1029,110440,599.0000,0
2007-02-06,30.3661,30.3661,28.6656,30.3661,195540,625.0000,0
2007-02-07,30.8520,30.8520,29.4430,30.8519,116470,635.0000,0
2007-02-08,29.3457,29.3457,29.3457,29.3458,103880,604.0000,0
2007-02-09,27.8882,27.8882,27.8882,27.8882,194380,574.0000,0
2007-02-12,29.2486,29.2486,29.2486,29.2486,60490,602.0000,0
2007-02-13,30.6090,30.7062,30.1231,30.6090,160600,630.0000,0
2007-02-14,29.6373,30.1231,29.6373,29.6373,79810,610.0000,0
2007-02-15,29.6373,29.6373,29.6373,29.6373,59720,610.0000,0
2007-02-26,31.0949,31.0949,31.0949,31.0949,231310,640.0000,0
2007-02-27,32.3095,32.6496,32.3095,32.3095,289680,665.0000,0
2007-02-28,30.7062,32.3095,30.7062,30.7062,69560,632.0000,0
2007-03-01,29.8802,30.6090,29.6373,29.8802,98850,615.0000,0
2007-03-02,30.4632,31.3378,30.4632,31.3378,163420,645.0000,0
2007-03-05,30.8519,31.3378,30.8519,30.8519,125170,635.0000,0
