date,open,high,low,close,volume,unadjusted,putthrough
2009-06-30,20.9761,20.9761,20.9761,20.9761,294070,60.0000,0
2009-07-01,22.0249,22.0249,20.8013,21.1509,6248390,60.5000,3410000
2009-07-02,20.8013,20.9761,20.1021,20.2769,1515670,58.0000,40000
2009-07-03,19.7525,19.9273,19.5777,19.5777,899720,56.0000,42000
2009-07-06,19.5777,20.4517,19.5777,20.4517,1571740,58.5000,0
2009-07-07,20.1021,20.2769,19.7525,19.7525,1115420,56.5000,91000
2009-07-08,19.2281,19.5777,19.0533,19.4029,763030,55.5000,654470
2009-07-09,19.0533,19.5777,18.7037,18.8785,982430,54.0000,0
2009-07-10,18.5289,18.7037,18.0045,18.0044,1973450,51.5000,20000
2009-07-13,17.4800,18.0044,17.1304,17.1304,812260,49.0000,71000
2009-07-14,17.2003,17.2003,16.6060,16.7109,847840,47.8000,0
2009-07-15,16.7808,17.4101,16.7808,17.1304,807250,49.0000,50000
2009-07-16,17.4800,17.4800,17.2702,17.4101,638990,49.8000,90000
2009-07-17,17.3052,17.3751,17.0605,17.1654,311000,49.1000,71000
2009-07-20,16.4662,16.5361,16.3264,16.3613,869220,46.8000,0
2009-07-21,16.5011,16.6759,16.3613,16.3963,483900,46.9000,0
2009-07-22,16.6061,16.6410,16.5012,16.6060,411780,47.5000,0
2009-07-23,16.4312,17.4101,16.4312,17.4101,929090,49.8000,0
2009-07-24,18.1792,18.1792,18.1792,18.1793,624760,52.0000,0
2009-07-27,19.0533,19.0533,18.3541,19.0533,1535460,54.5000,0
2009-07-28,19.0533,19.5777,18.3541,18.5289,1192800,53.0000,50000
2009-07-29,18.7037,18.8785,18.0045,18.3541,924570,52.5000,0
2009-07-30,18.1793,18.3541,17.6549,18.0044,606660,51.5000,0
2009-07-31,18.7036,18.8784,18.5288,18.8785,1125450,54.0000,60000
2009-08-03,19.7525,19.7525,19.2281,19.7525,2707260,56.5000,0
2009-08-04,20.6265,20.6265,19.9273,20.4517,1869220,58.5000,40000
2009-08-05,20.2769,20.6265,19.9273,20.2769,1654270,58.0000,0
2009-08-06,20.2769,20.6265,19.7525,19.9273,1656340,57.0000,40000
